cfgid,usemsk,usepad,roi,interp,optim,linesearch,divini,srcgrd,ffdgrd,passdof,conjtot,levels,iters,steps,rejects,lastn,epsilon,sim,bins,padbins,window,ds,be,le,le_mu,le_lambda,le_rot,lj,lj_eps,nj,nj_eps,nj_gamma,im,imsteps,maxsv,nbch,uselie
0014,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0.0050,0,1,0.0,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0015,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0.0070,0,1,0.0,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0016,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0.0090,0,1,0.0,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0017,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0.0200,0,1,0.0,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0018,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0.0300,0,1,0.0,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0019,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0.0500,0,1,0.0,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0020,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0.0010,0,1,0.0,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0021,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0.0030,0,1,0.0,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0022,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0.0050,0,1,0.0,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0023,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0.0070,0,1,0.0,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0024,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0.0090,0,1,0.0,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0025,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0.0200,0,1,0.0,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0026,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0.0300,0,1,0.0,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0027,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0.0500,0,1,0.0,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0028,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0.0010,1,1.0,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0029,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0.0010,1,1.5,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0030,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0.0030,1,1.0,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0031,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0.0030,1,1.5,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0032,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0.0050,1,1.0,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0033,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0.0050,1,1.5,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0034,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0.0070,1,1.0,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0035,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0.0070,1,1.5,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0036,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0.0090,1,1.0,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0037,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0.0090,1,1.5,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0038,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0.0200,1,1.0,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0039,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0.0200,1,1.5,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0040,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0.0300,1,1.0,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0041,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0.0300,1,1.5,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0042,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0.0500,1,1.0,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0043,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0.0500,1,1.5,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0044,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0.0700,1,1.0,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0045,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0.0700,1,1.5,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0046,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0.1000,1,1.0,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0047,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0.1000,1,1.5,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0048,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0.0010,1,1.0,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0049,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0.0010,1,1.5,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0050,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0.0030,1,1.0,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0051,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0.0030,1,1.5,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0052,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0.0050,1,1.0,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0053,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0.0050,1,1.5,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0054,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0.0070,1,1.0,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0055,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0.0070,1,1.5,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0056,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0.0090,1,1.0,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0057,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0.0090,1,1.5,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0058,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0.0200,1,1.0,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0059,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0.0200,1,1.5,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0060,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0.0300,1,1.0,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0061,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0.0300,1,1.5,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0062,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0.0500,1,1.0,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0063,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0.0500,1,1.5,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0064,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0.0700,1,1.0,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0065,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0.0700,1,1.5,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0066,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0.1000,1,1.0,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0067,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0.1000,1,1.5,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0068,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0.0010,1,1.0,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0069,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0.0010,1,1.5,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0070,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0.0030,1,1.0,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0071,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0.0030,1,1.5,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0072,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0.0050,1,1.0,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0073,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0.0050,1,1.5,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0074,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0.0070,1,1.0,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0075,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0.0070,1,1.5,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0076,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0.0090,1,1.0,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0077,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0.0090,1,1.5,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0078,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0.0200,1,1.0,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0079,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0.0200,1,1.5,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0080,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0.0300,1,1.0,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0081,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0.0300,1,1.5,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0082,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0.0500,1,1.0,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0083,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0.0500,1,1.5,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0084,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0.0700,1,1.0,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0085,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0.0700,1,1.5,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0086,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0.1000,1,1.0,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0087,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0.1000,1,1.5,true,0,0.01,0,0.01,0.5,SS,64,0,0,false
0088,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0,1,0.0,true,0.0010,0.01,0,0.01,0.5,SS,64,0,0,false
0089,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0,1,0.0,true,0.0050,0.01,0,0.01,0.5,SS,64,0,0,false
0090,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0,1,0.0,true,0.0100,0.01,0,0.01,0.5,SS,64,0,0,false
0091,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0,1,0.0,true,0.0300,0.01,0,0.01,0.5,SS,64,0,0,false
0092,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0,1,0.0,true,0.0500,0.01,0,0.01,0.5,SS,64,0,0,false
0093,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0,1,0.0,true,0.0700,0.01,0,0.01,0.5,SS,64,0,0,false
0094,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0,1,0.0,true,0.100,0.01,0,0.01,0.5,SS,64,0,0,false
0095,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0,1,0.0,true,0.0010,0.01,0,0.01,0.5,SS,64,0,0,false
0096,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0,1,0.0,true,0.0050,0.01,0,0.01,0.5,SS,64,0,0,false
0097,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0,1,0.0,true,0.0100,0.01,0,0.01,0.5,SS,64,0,0,false
0098,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0,1,0.0,true,0.0300,0.01,0,0.01,0.5,SS,64,0,0,false
0099,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0,1,0.0,true,0.0500,0.01,0,0.01,0.5,SS,64,0,0,false
0100,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0,1,0.0,true,0.0700,0.01,0,0.01,0.5,SS,64,0,0,false
0101,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0,1,0.0,true,0.100,0.01,0,0.01,0.5,SS,64,0,0,false
0102,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0,1,0.0,true,0.0010,0.01,0,0.01,0.5,SS,64,0,0,false
0103,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0,1,0.0,true,0.0050,0.01,0,0.01,0.5,SS,64,0,0,false
0104,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0,1,0.0,true,0.0100,0.01,0,0.01,0.5,SS,64,0,0,false
0105,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0,1,0.0,true,0.0300,0.01,0,0.01,0.5,SS,64,0,0,false
0106,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0,1,0.0,true,0.0500,0.01,0,0.01,0.5,SS,64,0,0,false
0107,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0,1,0.0,true,0.0700,0.01,0,0.01,0.5,SS,64,0,0,false
0108,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0,1,0.0,true,0.100,0.01,0,0.01,0.5,SS,64,0,0,false
0109,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0,1,0.0,true,0,0.01,0.0001,0.0010,0.5,SS,64,0,0,false
0110,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0,1,0.0,true,0,0.01,0.0010,0.0010,0.5,SS,64,0,0,false
0111,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0,1,0.0,true,0,0.01,0.0050,0.0010,0.5,SS,64,0,0,false
0112,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0,1,0.0,true,0,0.01,0.0100,0.0010,0.5,SS,64,0,0,false
0113,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0,1,0.0,true,0,0.01,0.0200,0.0010,0.5,SS,64,0,0,false
0114,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,2,0,0.00001,NMI,64,false,5,2.5,0,0,1,0.0,true,0,0.01,0.0300,0.0010,0.5,SS,64,0,0,false
